Id,TagName,Count,ExcerptPostId,WikiPostId
"1","definitions","29","105","104"
"2","machine-learning","7478","4909","4908"
"3","bigdata","428","66","65"
"5","data-mining","989","80","79"
"6","databases","85","8960","8959"
"8","libsvm","14","18","17"
"10","scalability","27","",""
"11","efficiency","29","142","141"
"12","performance","122","",""
"13","nosql","23","119","118"
"14","relational-dbms","11","",""
"15","clustering","912","145","144"
"16","octave","14","68","67"
"17","k-means","295","8958","8957"
"19","algorithms","323","8932","8931"
"21","tools","58","",""
"22","processing","16","",""
"23","apache-hadoop","117","5840","5839"
"24","r","1163","49","48"
"26","data-cleaning","471","8940","8939"
"27","statistics","702","3790","3789"
"29","distributed","34","",""
"31","neo4j","11","181","180"
"35","information-retrieval","108","48747","48746"
"36","google","35","",""
"37","search","45","",""
"39","education","31","8276","8275"
"40","open-source","16","",""
"42","similarity","198","",""
"43","data-stream-mining","15","109","108"
"45","dimensionality-reduction","191","8975","8974"
"46","python","4262","5523","5522"
"47","nlp","1288","147","146"
"48","language-model","52","",""
"50","topic-model","95","8400","8399"
"51","lda","93","6763","6762"
"54","feature-selection","594","8936","8935"
"55","map-reduce","26","137","136"
"56","mongodb","13","178","177"
"59","indexing","16","152","151"
"60","data-indexing-techniques","5","149","148"
"61","dataset","973","8889","8888"
"62",".net","7","168","167"
"64","pandas","796","9185","9184"
"65","parallel","34","",""
"66","metadata","10","",""
"67","parsing","23","",""
"71","social-network-analysis","83","8973","8972"
"72","time-series","1073","8904","8903"
"73","javascript","26","",""
"74","visualization","450","8952","8951"
"76","svm","410","8574","8573"
"77","classification","2024","4911","4910"
"78","binary","73","",""
"80","optimization","307","8954","8953"
"81","neural-network","3109","8885","8884"
"82","usecase","7","",""
"83","consumerweb","6","",""
"84","parameter","27","",""
"86","clusters","40","",""
"87","aws","43","",""
"90","text-mining","486","8900","8899"
"94","freebase","3","48674","48673"
"95","knowledge-base","19","",""
"100","confusion-matrix","84","9043","9042"
"101","accuracy","207","",""
"102","categorical-data","255","8977","8976"
"104","data-formats","30","",""
"105","hierarchical-data-format","20","",""
"108","sql","75","8990","8989"
"109","research","38","",""
"110","experiments","25","39144","39143"
"113","random-forest","512","8938","8937"
"114","logistic-regression","442","8934","8933"
"115","evaluation","175","43584","43583"
"116","crawling","11","",""
"119","anonymization","8","",""
"120","beginner","127","10335","10334"
"123","graphs","158","",""
"124","cross-validation","384","8988","8987"
"126","sampling","119","",""
"128","scikit-learn","1416","5896","5895"
"129","kaggle","85","48600","48599"
"135","gradient-descent","284","48491","48490"
"136","feature-extraction","276","10019","10018"
"138","state-of-the-art","6","",""
"139","career","51","",""
"143","genetic","4","",""
"144","correlation","224","8969","8968"
"146","error-handling","37","",""
"147","apache-pig","7","22402","22401"
"156","glm","21","",""
"157","regression","939","8906","8905"
"158","scala","42","49016","49015"
"159","csv","66","8992","8991"
"160","online-learning","47","",""
"162","unbalanced-classes","154","",""
"164","gbm","50","9096","9095"
"167","marketing","25","",""
"168","predictive-modeling","860","8902","8901"
"175","library","14","",""
"179","java","60","10021","10020"
"180","energy","4","",""
"184","anomaly-detection","228","48505","48504"
"185","forecast","92","",""
"186","sequence","76","9053","9052"
"191","hbase","2","48678","48677"
"193","tableau","28","",""
"194","deep-learning","2996","8956","8955"
"195","ensemble-modeling","111","48541","48540"
"197","infographics","7","",""
"200","feature-scaling","140","21855","21854"
"201","apache-mahout","16","48660","48659"
"202","hive","13","48745","48744"
"205","object-recognition","54","",""
"206","hog","3","",""
"207","computer-vision","358","9205","9204"
"211","methods","15","",""
"212","scoring","37","",""
"213","ranking","73","9049","9048"
"214","sports","6","",""
"215","markov-process","54","8986","8985"
"216","matlab","146","48517","48516"
"217","simulation","20","",""
"218","finance","40","48020","48019"
"219","apache-spark","217","8971","8970"
"220","linear-regression","475","8887","8886"
"222","version-control","7","",""
"223","convnet","440","12581","12580"
"224","image-classification","494","51105","51104"
"226","software-development","13","",""
"227","rstudio","40","49014","49013"
"229","programming","34","",""
"232","notation","9","57306","57305"
"233","terminology","62","9059","9058"
"235","sas","19","9051","9050"
"236","hyperparameter","115","21852","21851"
"237","survival-analysis","27","9045","9044"
"238","discriminant-analysis","16","9106","9105"
"239","multiclass-classification","321","",""
"240","books","28","",""
"243","genetic-algorithms","42","",""
"244","featurization","5","",""
"249","decision-trees","463","16988","16987"
"250","self-study","37","",""
"251","named-entity-recognition","94","",""
"254","bioinformatics","20","9098","9097"
"255","data","515","35800","35799"
"261","multitask-learning","23","6442","6441"
"266","word-embeddings","291","6614","6613"
"269","software-recommendation","34","9057","9056"
"271","preprocessing","290","",""
"272","multilabel-classification","217","6780","6779"
"273","reference-request","64","9055","9054"
"274","julia","10","12599","12598"
"276","loss-function","302","48493","48492"
"278","ggplot2","21","21818","21817"
"279","normalization","171","48521","48520"
"280","weighted-data","42","",""
"281","feature-construction","54","",""
"282","supervised-learning","247","9047","9046"
"283","descriptive-statistics","54","9104","9103"
"284","aggregation","27","",""
"286","c","13","",""
"287","missing-data","116","",""
"288","markov","12","",""
"289","expectation-maximization","17","9102","9101"
"290","distance","106","12579","12578"
"291","cosine-distance","52","48664","48663"
"293","learning","25","",""
"298","ipython","49","48858","48857"
"299","anaconda","39","48656","48655"
"301","numerical","19","",""
"302","history","4","",""
"303","outlier","134","12561","12560"
"304","unsupervised-learning","308","9094","9093"
"305","probability","204","",""
"307","autoencoder","223","8674","8673"
"310","backpropagation","212","36804","36803"
"311","theano","45","48598","48597"
"312","fuzzy-logic","25","57240","57239"
"313","weka","58","18889","18888"
"315","scraping","35","",""
"317","xgboost","414","12577","12576"
"319","data-wrangling","38","",""
"320","data-product","9","",""
"321","tensorflow","1347","9183","9182"
"322","excel","53","",""
"323","semi-supervised-learning","39","63634","63633"
"324","keras","1903","9251","9250"
"325","azure-ml","39","9253","9252"
"327","machine-translation","62","",""
"328","data-imputation","64","43035","43034"
"329","gensim","79","10237","10236"
"330","lsi","5","",""
"331","model-selection","156","43582","43581"
"332","feature-engineering","356","25556","25555"
"333","hinge-loss","8","9986","9985"
"334","stata","4","",""
"335","text","108","",""
"337","json","27","",""
"340","reinforcement-learning","435","9674","9673"
"341","q-learning","99","9676","9675"
"342","google-prediction-api","7","",""
"344","ab-test","33","48409","48408"
"345","nltk","110","10023","10022"
"346","apache-kafka","3","48658","48657"
"347","pybrain","3","48951","48950"
"348","word2vec","252","12733","12732"
"351","convergence","26","",""
"352","pgm","6","9830","9829"
"354","parameter-estimation","33","",""
"356","bayesian-networks","43","",""
"358","orange","194","9921","9920"
"359","churn","28","",""
"360","naive-bayes-classifier","130","9984","9983"
"361","image-recognition","208","10017","10016"
"362","market-basket-analysis","23","48866","48865"
"363","association-rules","58","",""
"364","audio-recognition","69","",""
"365","rbm","30","10129","10128"
"366","interpolation","17","10137","10136"
"367","recommender-system","323","25261","25260"
"368","regularization","111","48959","48958"
"370","dbscan","41","48666","48665"
"372","pca","210","23174","23173"
"373","randomized-algorithms","16","",""
"374","rnn","437","10591","10590"
"376","labels","69","",""
"377","tsne","46","23176","23175"
"378","manifold","6","",""
"380","stanford-nlp","40","10929","10928"
"382","dropout","53","48856","48855"
"383","training","352","",""
"386","amazon-ml","9","",""
"388","geospatial","55","11343","11342"
"389","sequential-pattern-mining","44","",""
"393","gpu","107","",""
"395","jaccard-coefficient","11","48811","48810"
"396","pyspark","108","48580","48579"
"397","jupyter","97","48813","48812"
"398","sentiment-analysis","125","48578","48577"
"400","torch","14","",""
"401","competitions","6","",""
"402","overfitting","164","48509","48508"
"403","powerbi","20","48949","48948"
"407","prediction","294","",""
"409","score","25","",""
"410","encoding","105","",""
"411","spss","5","49046","49045"
"412","gaussian","56","",""
"415","mutual-information","14","48868","48867"
"416","bayesian","83","",""
"422","etl","11","",""
"427","graphical-model","23","",""
"434","domain-adaptation","9","",""
"437","methodology","26","",""
"438","theory","32","",""
"439","reductions","2","",""
"442","distribution","107","",""
"443","text-generation","41","",""
"444","estimators","16","",""
"445","information-theory","28","57262","57261"
"450","cost-function","54","",""
"452","data-augmentation","53","",""
"455","data.table","14","",""
"457","inception","39","",""
"458","caffe","23","48662","48661"
"459","redshift","5","17602","17601"
"461","text-filter","6","",""
"464","management","7","",""
"465","variance","69","",""
"466","regex","22","48957","48956"
"467","noisification","3","",""
"468","privacy","10","",""
"470","vc-theory","13","",""
"471","search-engine","15","",""
"473","community","3","",""
"474","monte-carlo","19","",""
"476","pytorch","271","16990","16989"
"478","dirichlet","6","48793","48792"
"480","plotting","97","",""
"481","matrix-factorisation","41","48818","48817"
"482","convolution","229","49288","49287"
"483","active-learning","12","",""
"484","tokenization","13","",""
"485","linux","10","",""
"486","data-leakage","17","",""
"487","gan","168","24887","24886"
"488","rattle","3","17451","17450"
"491","embeddings","90","",""
"499","ocr","48","25247","25246"
"502","linear-algebra","48","48860","48859"
"504","similar-documents","44","",""
"505","representation","18","",""
"510","lda-classifier","6","",""
"511","perceptron","61","48897","48896"
"512","automatic-summarization","20","",""
"513","nvidia","14","",""
"514","alex-net","10","",""
"519","smote","54","49042","49041"
"520","class-imbalance","153","",""
"521","dataframe","182","48519","48518"
"522","classifier","44","",""
"524","vector-space-models","17","",""
"527","lstm","765","25536","25535"
"528","forecasting","138","",""
"530","mnist","57","25538","25537"
"532","tfidf","63","",""
"533","learning-rate","18","",""
"534","twitter","18","",""
"535","cloud","10","",""
"537","batch-normalization","45","22487","22486"
"538","word","6","",""
"539","generative-models","98","56541","56540"
"550","game","13","23308","23307"
"552","ngrams","17","",""
"554","meta-learning","8","",""
"555","ensemble","22","",""
"556","pac-learning","11","24318","24317"
"557","cnn","893","28890","28889"
"558","tranformation","4","",""
"559","seaborn","66","49020","49019"
"560","historgram","13","48807","48806"
"561","counts","7","",""
"562","numpy","219","48507","48506"
"564","activation-function","95","48617","48616"
"565","cloud-computing","18","",""
"566","homework","12","",""
"567","keras-rl","11","24515","24514"
"568","openai-gym","27","",""
"569","dqn","66","",""
"570","mini-batch-gradient-descent","33","",""
"571","neural-style-transfer","15","",""
"572","noise","26","",""
"575","yolo","46","",""
"576","ibm-watson","1","48809","48808"
"577","speech-to-text","21","49044","49043"
"580","matplotlib","123","48596","48595"
"581","tflearn","10","",""
"582","learning-to-rank","16","",""
"583","anomaly","7","",""
"584","actor-critic","25","58477","58476"
"585","grid-search","56","48676","48675"
"586","hyperparameter-tuning","110","",""
"587","bayes-error","6","35927","35926"
"588","transfer-learning","108","26090","26089"
"591","kernel","59","43586","43585"
"593","reshape","20","",""
"594","project-planning","11","",""
"596","scipy","58","49018","49017"
"598","bias","38","",""
"599","markov-hidden-model","27","48816","48815"
"600","math","57","",""
"601","recurrent-neural-net","169","",""
"602","sequence-to-sequence","69","",""
"603","natural-language-process","200","30094","30093"
"605","svr","9","",""
"606","vgg16","30","",""
"607","object-detection","176","57308","57307"
"608","automation","7","",""
"609","glorot-initialization","2","",""
"610","faster-rcnn","49","",""
"611","ensemble-learning","21","",""
"612","k-nn","98","43051","43050"
"613","hardware","19","",""
"614","ai","42","",""
"617","colab","30","",""
"618","data-science-model","295","",""
"619","machine-learning-model","375","",""
"621","mlp","57","63784","63783"
"623","annotation","19","",""
"624","normal-equation","6","",""
"627","metric","111","",""
"628","data-analysis","113","",""
"629","self-driving","7","",""
"630","generalization","21","",""
"631","boosting","75","",""
"632","objective-function","14","",""
"633","predictor-importance","22","",""
"634","momentum","5","",""
"637","weight-initialization","23","",""
"640","dplyr","11","48795","48794"
"641","epochs","19","",""
"644","cs231n","2","",""
"645","gridsearchcv","43","",""
"646","sensors","9","",""
"651","mcmc","6","48820","48819"
"652","probabilistic-programming","13","",""
"656","policy-gradients","44","",""
"660","stacked-lstm","17","",""
"662","ndcg","6","",""
"663","fastai","11","48804","48803"
"664","pipelines","35","48899","48898"
"667","nlg","10","36831","36830"
"669","heatmap","15","48743","48742"
"670","deep-network","45","",""
"671","collinearity","10","",""
"673","matrix","36","39146","39145"
"674","spatial-transformer","2","",""
"675","evolutionary-algorithms","13","",""
"677","opencv","61","48895","48894"
"678","feature-reduction","5","",""
"680","activity-recognition","9","",""
"682","orange3","26","",""
"686","features","41","",""
"687","genetic-programming","3","",""
"690","attention-mechanism","42","",""
"693","rbf","7","43049","43048"
"696","neural","18","",""
"699","ml","10","",""
"700","implementation","19","",""
"701","code","5","",""
"704","image-size","5","",""
"707","imbalanced-learn","24","",""
"708","smotenc","6","",""
"709","image-preprocessing","86","",""
"711","deepmind","9","",""
"712","wolfram-language","3","45101","45100"
"713","chatbot","13","",""
"716","finite-precision","4","",""
"717","h2o","5","45591","45590"
"718","dynamic-programming","5","",""
"719","ridge-regression","11","48961","48960"
"720","image","46","",""
"721","discounted-reward","6","",""
"723","difference","7","",""
"724","3d-reconstruction","11","",""
"725","sagemaker","8","48614","48613"
"728","transformer","63","54047","54046"
"729","gmm","3","48407","48406"
"730","bert","94","48405","48404"
"731","dummy-variables","21","",""
"732","pip","9","47323","47322"
"734","aws-lambda","2","48791","48790"
"735","serialisation","3","",""
"737","density-estimation","5","48148","48147"
"738","mathematics","31","",""
"739","finetuning","12","",""
"741","vae","18","",""
"743","web-scraping","16","",""
"744","mean-shift","3","",""
"745","structured-data","9","",""
"746","fuzzy-classification","4","",""
"747","probability-calibration","20","",""
"751","apache-nifi","1","57230","57229"
"752","categories","3","",""
"754","gaussian-process","15","",""
"755","inceptionresnetv2","7","",""
"756","explainable-ai","22","52018","52017"
"757","softmax","26","",""
"758","open-set","2","",""
"759","coursera","4","",""
"763","manhattan","3","",""
"764","mse","15","57264","57263"
"767","lasso","9","53644","53643"
"769","lightgbm","32","",""
"770","pooling","8","",""
"772","one-shot-learning","3","",""
"774","feature-map","2","",""
"775","movielens","5","",""
"776","knime","3","57219","57218"
"779","spacy","27","57215","57214"
"780","allennlp","3","57217","57216"
"783","tesseract","6","",""
"786","pytorch-geometric","4","",""
"788","stemming","2","57670","57669"
"789","pickle","11","57668","57667"
"790","multi-instance-learning","2","",""
"791","arima","14","",""
"792","rdkit","2","",""
"795","causalimpact","2","",""
"798","unseen-data","2","",""
"799","automl","5","",""
"801","question-answering","9","",""
"802","doc2vec","7","",""
"806","networkx","3","",""
"807","pathfinder","1","",""
"808","time","10","",""
"809","siamese","1","",""
"810","non-convex","1","",""
"811","sparsity","3","",""
"813","multi-output","13","",""
"814","corpus","4","",""
"815","dump","1","",""
"816","wikipedia","2","",""
"817","siamese-networks","8","",""
"818","sematic-similarity","6","",""
"819","python-3.x","61","",""
"820","statsmodels","6","",""
"822","non-parametric","7","",""
"823","bayesian-nonparametric","3","",""
"824","hurdle-model","1","",""
"825","marginal-effects","1","",""
"826","huggingface","2","",""
"827","image-segmentation","19","",""
"828","adaboost","8","",""
"829","rmsle","1","",""
"830","rmse","4","",""
"831","anova","2","",""
"833","gru","8","",""
"834","openai-gpt","7","",""
"835","extreme-learning-machine","1","",""
"836","one-hot-encoding","18","",""
"838","pruning","3","",""
"839","multivariate-distribution","11","",""
"840","auc","14","",""
"841","ann","5","",""
"842","exploitation","1","",""
"844","goss","1","",""
"845","proximal-svm","1","",""
"846","least-squares-svm","2","",""
"847","categorical-encoding","16","",""
"848","helmert-coding","1","",""
"849","james-stein-encoder","1","",""
"850","summarunner-architecture","1","",""
"851","groupby","3","64293","64292"
"852","c++","1","",""
"853","pearsons-correlation-coefficient","7","",""
"854","spearmans-rank-correlation","2","",""
"855","kendalls-tau-coefficient","2","",""
"856","predict","6","",""
"857","nl2sql","1","",""
"858","frequentist","1","",""
"859","google-cloud","5","",""
"860","spyder","2","",""
"861","parquet","1","",""
"863","pattern-recognition","8","",""
"864","text-classification","18","",""
"865","3d-object-detection","3","",""
"866","kitti-dataset","1","",""
"867","encoder","2","",""
"868","separable","1","",""
"869","linearly-separable","1","",""
"870","data-engineering","4","",""
"871","metaheuristics","2","",""
"872","pyro","1","",""
"873","bayesian-neural-network","1","",""
"874","spectral-clustering","1","",""
"876","sparse","1","",""
"877","f1score","10","",""
"878","handwritten","1","",""
"879","natural-gradient-boosting","2","",""
"880","ngboost","1","",""
"881","linear-programming","2","",""
"882","cart","2","",""
"883","structural-equation-modelling","2","",""
"884","exploratory-factor-analysis","1","",""
"886","information-extraction","1","",""
"887","mlflow","1","",""
"888","shap","6","",""
"890","hashingvectorizer","1","",""
"891","naive-bayes-algorithim","1","",""
"892","skorch","1","",""
"893","arrow","1","",""
"894","dashboards","1","",""
"895","bokeh","2","",""
"896","plotly","3","",""
"897","multi-agent","1","",""
"898","sap","2","",""
"899","hana","1","",""
"901","mxnet","1","",""
"902","gluon","1","",""
"903","tpu","2","68109","68108"
"904","cuda","2","",""
"905","isolation-forest","1","",""
"907","infere","1","",""
"908","interpretation","8","",""
"909","elastic-net","1","",""
"911","ner","1","",""
"913","functional-api","1","",""
"914","bagging","2","",""
"915","igraph","1","",""
"916","chi-square-test","1","",""
"917","chainer","1","",""
"918","target-encoding","1","",""
"919","galago","1","",""
"920","bootstraping","1","",""
"921","parametric","1","",""